record_type,model_time,forecast_time_hkt,temperature_c,weather_icon,daily_min_c,daily_max_c,last_modified,source
hourly,2026090900,2026-09-12T10:00:00+08:00,27.4,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T11:00:00+08:00,28.1,52,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T12:00:00+08:00,28.7,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T13:00:00+08:00,29.6,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T14:00:00+08:00,29.9,52,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T15:00:00+08:00,30.0,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T16:00:00+08:00,29.2,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T17:00:00+08:00,29.0,62,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T18:00:00+08:00,28.8,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T19:00:00+08:00,28.6,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T20:00:00+08:00,28.2,62,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T21:00:00+08:00,28.0,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T22:00:00+08:00,27.8,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-12T23:00:00+08:00,27.7,62,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T00:00:00+08:00,27.5,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T01:00:00+08:00,27.4,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T02:00:00+08:00,27.4,62,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T03:00:00+08:00,26.8,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T04:00:00+08:00,26.4,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T05:00:00+08:00,26.0,62,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T06:00:00+08:00,26.0,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T07:00:00+08:00,26.3,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T08:00:00+08:00,26.7,62,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T09:00:00+08:00,27.1,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T10:00:00+08:00,27.7,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T11:00:00+08:00,28.1,62,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T12:00:00+08:00,28.5,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T13:00:00+08:00,29.1,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T14:00:00+08:00,29.5,62,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T15:00:00+08:00,30.0,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T16:00:00+08:00,29.7,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T17:00:00+08:00,29.4,62,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T18:00:00+08:00,28.8,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T19:00:00+08:00,28.4,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T20:00:00+08:00,28.2,62,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T21:00:00+08:00,28.0,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T22:00:00+08:00,27.9,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-13T23:00:00+08:00,27.7,60,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-14T00:00:00+08:00,27.6,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-14T01:00:00+08:00,27.6,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-14T02:00:00+08:00,27.2,60,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-14T03:00:00+08:00,27.0,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-14T04:00:00+08:00,26.8,,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-14T05:00:00+08:00,26.8,711,,,20260910011157,HKO.xml
hourly,2026090900,2026-09-14T06:00:00+08:00,27.0,,,,20260910011157,HKO.xml
