record_type,model_time,forecast_time_hkt,temperature_c,weather_icon,daily_min_c,daily_max_c,last_modified,source
hourly,2026091100,2026-09-15T10:00:00+08:00,29.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T11:00:00+08:00,30.1,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T12:00:00+08:00,30.4,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T13:00:00+08:00,30.9,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T14:00:00+08:00,31.1,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T15:00:00+08:00,31.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T16:00:00+08:00,30.9,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T17:00:00+08:00,30.3,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T18:00:00+08:00,29.6,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T19:00:00+08:00,28.9,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T20:00:00+08:00,28.6,71,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T21:00:00+08:00,28.5,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T22:00:00+08:00,28.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-15T23:00:00+08:00,27.9,711,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T00:00:00+08:00,27.7,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T01:00:00+08:00,27.7,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T02:00:00+08:00,27.5,711,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T03:00:00+08:00,27.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T04:00:00+08:00,27.3,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T05:00:00+08:00,27.1,71,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T06:00:00+08:00,27.0,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T07:00:00+08:00,27.2,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T08:00:00+08:00,27.6,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T09:00:00+08:00,28.1,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T10:00:00+08:00,28.6,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T11:00:00+08:00,29.2,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T12:00:00+08:00,29.5,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T13:00:00+08:00,30.0,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T14:00:00+08:00,30.2,50,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T15:00:00+08:00,30.5,,,,20260912041150,HKO.xml
hourly,2026091100,2026-09-16T16:00:00+08:00,30.2,,,,20260912041150,HKO.xml
