observed_at_hkt,temperature_c,rh_pct,source
2026-09-13T00:00:00+08:00,28.0,79.0,hkoc.csv
2026-09-13T00:01:00+08:00,28.0,79.0,hkoc.csv
2026-09-13T00:02:00+08:00,28.0,79.0,hkoc.csv
2026-09-13T00:03:00+08:00,28.0,79.0,hkoc.csv
2026-09-13T00:04:00+08:00,28.0,79.0,hkoc.csv
2026-09-13T00:05:00+08:00,28.0,79.0,hkoc.csv
2026-09-13T00:06:00+08:00,28.0,79.0,hkoc.csv
2026-09-13T00:07:00+08:00,28.0,80.0,hkoc.csv
2026-09-13T00:08:00+08:00,28.0,80.0,hkoc.csv
2026-09-13T00:09:00+08:00,28.0,80.0,hkoc.csv
2026-09-13T00:10:00+08:00,28.0,80.0,hkoc.csv
2026-09-13T00:11:00+08:00,28.1,79.0,hkoc.csv
2026-09-13T00:12:00+08:00,28.1,79.0,hkoc.csv
2026-09-13T00:13:00+08:00,28.0,79.0,hkoc.csv
2026-09-13T00:14:00+08:00,28.0,79.0,hkoc.csv
2026-09-13T00:15:00+08:00,28.0,79.0,hkoc.csv
2026-09-13T00:16:00+08:00,28.0,79.0,hkoc.csv
2026-09-13T00:17:00+08:00,28.1,78.0,hkoc.csv
2026-09-13T00:18:00+08:00,28.1,78.0,hkoc.csv
2026-09-13T00:19:00+08:00,28.0,78.0,hkoc.csv
2026-09-13T00:20:00+08:00,28.0,78.0,hkoc.csv
2026-09-13T00:21:00+08:00,28.0,77.0,hkoc.csv
2026-09-13T00:22:00+08:00,27.9,78.0,hkoc.csv
2026-09-13T00:23:00+08:00,27.9,78.0,hkoc.csv
2026-09-13T00:24:00+08:00,27.9,78.0,hkoc.csv
2026-09-13T00:25:00+08:00,27.9,78.0,hkoc.csv
2026-09-13T00:26:00+08:00,28.0,78.0,hkoc.csv
2026-09-13T00:27:00+08:00,27.9,78.0,hkoc.csv
2026-09-13T00:28:00+08:00,27.9,78.0,hkoc.csv
2026-09-13T00:29:00+08:00,27.9,79.0,hkoc.csv
2026-09-13T00:30:00+08:00,27.9,78.0,hkoc.csv
2026-09-13T00:31:00+08:00,27.9,78.0,hkoc.csv
2026-09-13T00:32:00+08:00,27.9,78.0,hkoc.csv
2026-09-13T00:33:00+08:00,27.9,78.0,hkoc.csv
2026-09-13T00:34:00+08:00,27.9,79.0,hkoc.csv
2026-09-13T00:35:00+08:00,27.9,79.0,hkoc.csv
2026-09-13T00:36:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:37:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:38:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:39:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:40:00+08:00,27.7,80.0,hkoc.csv
2026-09-13T00:41:00+08:00,27.7,80.0,hkoc.csv
2026-09-13T00:42:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:43:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:44:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:45:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:46:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:47:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:48:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:49:00+08:00,27.8,80.0,hkoc.csv
2026-09-13T00:50:00+08:00,27.8,80.0,hkoc.csv
